description,category
UPI/LPG Cylinder HP/KOTAK,Utilities
POS Spencer's SURAT,Shopping
UPI/Accenture/KOTAK,Salary
UPI/Fixed Deposit/FEDERAL,Investment
UPI/Fitness First/ICICI,Health & Fitness
POS Bowling Alley JAIPUR,Entertainment
CESC Electricity ONLINE PAYMENT,Utilities
UPI/Co-living Rent/HDFC,Rent
UPI/ixigo/BOB,Travel
UPI/TPDDL Bill/KOTAK,Utilities
UPI/ChaatWala/ICICI,Food & Drink
AUTO DEBIT Jio Fiber,Utilities
Yatra ONLINE PAYMENT,Travel
AUTO DEBIT Health Insurance Premium,Health & Fitness
POS Barbeque Nation BENGALURU,Food & Drink
UPI/Ajio/ICICI,Shopping
POS Adidas AHMEDABAD,Shopping
POS Fortis Hospital BENGALURU,Health & Fitness
POS Nykaa DELHI,Shopping
UPI/BSES Bill/HDFC,Utilities
POS Subway GURGAON,Food & Drink
POS Third Wave Coffee DELHI,Food & Drink
NestAway ONLINE PAYMENT,Rent
UPI/IGL Gas Bill/BOB,Utilities
Razorpay ONLINE PAYMENT,Salary
UPI/IGL Gas Bill/PNB,Utilities
UPI/Goibibo/ICICI,Travel
POS Apollo Pharmacy HYDERABAD,Health & Fitness
POS PVR Cinemas NOIDA,Entertainment
UPI/Piped Gas MGL/SBI,Utilities
UPI/ixigo/AXIS,Travel
POS Uniqlo MUMBAI,Shopping
UPI/Netflix/HDFC,Entertainment
POS Himalaya Store SURAT,Health & Fitness
POS Thyrocare LUCKNOW,Health & Fitness
Boat Lifestyle ONLINE PAYMENT,Shopping
POS Parking Fee BENGALURU,Travel
UPI/ixigo/SBI,Travel
POS Naturals Ice Cream BHOPAL,Food & Drink
AbhiBus ONLINE PAYMENT,Travel
POS Star Bazaar LUCKNOW,Shopping
POS Manipal Hospital GURGAON,Health & Fitness
NACH LIC Premium,Investment
UPI/Tech Mahindra/FEDERAL,Salary
UPI/Accenture/CANARA,Salary
POS Pizza Hut NOIDA,Food & Drink
UPI/Airtel Xstream Fiber/YES,Utilities
UPI/TPDDL Bill/PNB,Utilities
UPI/Society Maintenance/BOB,Utilities
UPI/BookMyShow/ICICI,Entertainment
UPI/Studio Rent/SBI,Rent
UPI/PVR Cinemas/KOTAK,Entertainment
UPI/Fixed Deposit/BOB,Investment
POS Apartment Maintenance BENGALURU,Rent
UPI/Paytm Money SIP/PNB,Investment
UPI/BookMyShow/BOB,Entertainment
UPI/PPF Contribution/SBI,Investment
UPI/ChaatWala/PNB,Food & Drink
UPI/Studio Rent/AXIS,Rent
UPI/Accenture/ICICI,Salary
UPI/Gas Bill/FEDERAL,Utilities
POS More Supermarket HYDERABAD,Shopping
POS Fortis Hospital HYDERABAD,Health & Fitness
UPI/Yoga Class/YES,Health & Fitness
UPI/Moj Premium/PNB,Entertainment
UPI/Fitness First/KOTAK,Health & Fitness
UPI/Stanza Living/CANARA,Rent
UPI/FastTag Toll/AXIS,Travel
POS Netmeds MUMBAI,Health & Fitness
POS IndianOil Petrol Pump NOIDA,Travel
POS Zara GURGAON,Shopping
Mamaearth ONLINE PAYMENT,Shopping
POS Spencer's PUNE,Shopping
POS Subway NOIDA,Food & Drink
UPI/Hotstar/BOB,Entertainment
UPI/Maintenance Charge/YES,Rent
POS Paradise Biryani DELHI,Food & Drink
UPI/Lenskart/CANARA,Entertainment
POS Manipal Hospital LUCKNOW,Health & Fitness
UPI/Narayana Health/YES,Health & Fitness
UPI/Nykaa/YES,Shopping
UPI/Kuvera MF/AXIS,Investment
UPI/EaseMyTrip/BOB,Travel
POS Mutual Fund SIP JAIPUR,Investment
UPI/Kuvera MF/ICICI,Investment
POS PVR Cinemas HYDERABAD,Entertainment
UPI/Myntra/BOB,Shopping
Anytime Fitness ONLINE PAYMENT,Health & Fitness
UPI/Studio Rent/PNB,Rent
POS Lifestyle GURGAON,Shopping
UPI/PVR Cinemas/ICICI,Entertainment
POS Pizza Hut DELHI,Food & Drink
UPI/BSNL Recharge/PNB,Utilities
POS Cafe Coffee Day KOLKATA,Food & Drink
NEFT - Rent Feb,Rent
POS Netmeds PUNE,Health & Fitness
Hathway Broadband ONLINE PAYMENT,Utilities
UPI/Diagnostic Lab/ICICI,Health & Fitness
AUTO DEBIT Spotify Premium,Entertainment
UPI/Fixed Deposit/CANARA,Investment
UPI/LPG Cylinder HP/HDFC,Utilities
UPI/Nykaa/ICICI,Shopping
UPI/Amazon/SBI,Shopping
POS Wow Momo BENGALURU,Food & Drink
UPI/Zomato/SBI,Food & Drink
UPI/D-Mart/KOTAK,Shopping
UPI/Mutual Fund SIP/AXIS,Investment
UPI/Bharat Gas/BOB,Utilities
UPI/Tech Mahindra/BOB,Salary
POS Netmeds SURAT,Health & Fitness
UPI/Paytm Money SIP/KOTAK,Investment
UPI/Gold's Gym/KOTAK,Health & Fitness
POS Myntra HYDERABAD,Shopping
UPI/Maintenance Charge/PNB,Rent
UPI/Fixed Deposit/YES,Investment
POS More Supermarket BHOPAL,Shopping
POS Third Wave Coffee HYDERABAD,Food & Drink
UPI/Hotstar/HDFC,Entertainment
UPI/Hotstar/CANARA,Entertainment
POS Manipal Hospital MUMBAI,Health & Fitness
UPI/Flat Rent/PNB,Rent
POS KFC PUNE,Food & Drink
POS Burger King KOLKATA,Food & Drink
POS Adidas CHENNAI,Shopping
IMPS/Rent Payment/SBI,Rent
POS Timezone Games NOIDA,Entertainment
POS Dominos Pizza JAIPUR,Food & Drink
POS Manipal Hospital NOIDA,Health & Fitness
POS Honest Restaurant AHMEDABAD,Food & Drink
UPI/Water Bill/BOB,Utilities
UPI/D-Mart/PNB,Shopping
Cleartrip ONLINE PAYMENT,Travel
UPI/Diagnostic Lab/BOB,Health & Fitness
POS Manipal Hospital AHMEDABAD,Health & Fitness
POS Marriott NOIDA,Travel
UPI/Flat Rent/YES,Rent
UPI/Co-living Rent/FEDERAL,Rent
POS PVR Cinemas KOLKATA,Entertainment
UPI/FastTag Toll/ICICI,Travel
POS Apartment Maintenance CHENNAI,Rent
UPI/Gold's Gym/FEDERAL,Health & Fitness
POS Chai Point BHOPAL,Food & Drink
UPI/Hostel Rent/BOB,Rent
POS Decathlon HYDERABAD,Shopping
POS BookMyShow PUNE,Entertainment
POS Taj Hotels PUNE,Travel
POS Flipkart AHMEDABAD,Shopping
UPI/FastTag Toll/KOTAK,Travel
UPI/TPDDL Bill/HDFC,Utilities
NACH FD Renewal,Investment
UPI/NestAway Rent/BOB,Rent
UPI/Vi Recharge/SBI,Utilities
UPI/Mutual Fund SIP/FEDERAL,Investment
UPI/Moj Premium/ICICI,Entertainment
UPI/Moj Premium/AXIS,Entertainment
UPI/Vi Recharge/HDFC,Utilities
UPI/ChaatWala/YES,Food & Drink
AUTO DEBIT Disney+ Hotstar,Entertainment
POS Max Hospital SURAT,Health & Fitness
UPI/NestAway Rent/PNB,Rent
POS Adidas PUNE,Shopping
POS Escape Room SURAT,Entertainment
UPI/Society Fee/HDFC,Rent
UPI/Canteen/HDFC,Food & Drink
POS Haldirams GURGAON,Food & Drink
UPI/Fitness First/HDFC,Health & Fitness
POS Apple Store HYDERABAD,Shopping
UPI/PharmEasy/YES,Health & Fitness
POS Barbeque Nation BHOPAL,Food & Drink
POS Cafe Coffee Day AHMEDABAD,Food & Drink
UPI/Airtel Xstream Fiber/CANARA,Utilities
UPI/Narayana Health/PNB,Health & Fitness
POS Reliance Digital SURAT,Shopping
POS Timezone Games INDORE,Entertainment
POS Fortis Hospital INDORE,Health & Fitness
UPI/Flat Rent/AXIS,Rent
AUTO DEBIT Home Loan EMI SBI,Rent
UPI/RedBus/SBI,Travel
UPI/Zostel/YES,Travel
UPI/Diagnostic Lab/YES,Health & Fitness
UPI/BPCL Fuel/KOTAK,Travel
POS Fortis Hospital JAIPUR,Health & Fitness
UPI/MSEDCL Bill/YES,Utilities
UPI/Housing Society/SBI,Rent
UPI/Lenskart/BOB,Entertainment
POS Nike DELHI,Shopping
UPI/BESCOM Bill/HDFC,Utilities
UPI/Canteen/YES,Food & Drink
UPI/House Rent/YES,Rent
UPI/Dunzo/FEDERAL,Food & Drink
UPI/Hotstar/KOTAK,Entertainment
POS Max Hospital INDORE,Health & Fitness
NEFT Salary Dec,Salary
UPI/MSEDCL Bill/AXIS,Utilities
EaseMyTrip ONLINE PAYMENT,Travel
POS Naturals Ice Cream LUCKNOW,Food & Drink
UPI/Gas Bill/CANARA,Utilities
UPI/Hostel Rent/PNB,Rent
POS Fassos LUCKNOW,Food & Drink
POS Zara CHENNAI,Shopping
UPI/Narayana Health/ICICI,Health & Fitness
UPI/Security Deposit/SBI,Rent
POS Nike BENGALURU,Shopping
UPI/Yoga Class/KOTAK,Health & Fitness
UPI/D-Mart/BOB,Shopping
UPI/YouTube Premium/ICICI,Entertainment
UPI/FastTag Toll/SBI,Travel
POS Myntra GURGAON,Shopping
UPI/BSNL Recharge/SBI,Utilities
UPI/Practo/YES,Health & Fitness
UPI/Hotstar/ICICI,Entertainment
UPI/Apartment Rent/ICICI,Rent
POS Netmeds KOLKATA,Health & Fitness
POS Keventers HYDERABAD,Food & Drink
POS Vijay Sales KOLKATA,Shopping
POS H&M NOIDA,Shopping
UPI/Path Lab/YES,Health & Fitness
UPI/Fitness First/AXIS,Health & Fitness
POS Marriott AHMEDABAD,Travel
POS H&M JAIPUR,Shopping
UPI/Groww/CANARA,Investment
POS D-Mart BHOPAL,Shopping
POS Timezone Games CHENNAI,Entertainment
UPI/Canteen/KOTAK,Food & Drink
UPI/Co-living Rent/YES,Rent
POS Keventers INDORE,Food & Drink
POS Cafe Coffee Day BHOPAL,Food & Drink
OYO ONLINE PAYMENT,Travel
UPI/Zerodha/FEDERAL,Investment
POS Bowling Alley HYDERABAD,Entertainment
POS Uniqlo DELHI,Shopping
IMPS/Rent Payment/AXIS,Rent
UPI/Flat Rent/HDFC,Rent
POS Shoppers Stop BHOPAL,Shopping
UPI/Studio Rent/KOTAK,Rent
POS More Supermarket NOIDA,Shopping
POS Apollo Hospital GURGAON,Health & Fitness
UPI/Practo/SBI,Health & Fitness
NEFT - Rent Nov,Rent
POS Big Bazaar GURGAON,Shopping
SALARY CREDIT MAR 2026,Salary
SALARY CREDIT APR 2026,Salary
POS Shoppers Stop AHMEDABAD,Shopping
POS Zara BHOPAL,Shopping
UPI/Fitness First/YES,Health & Fitness
UPI/Airtel Recharge/AXIS,Utilities
POS Lifestyle DELHI,Shopping
POS D-Mart AHMEDABAD,Shopping
POS Third Wave Coffee GURGAON,Food & Drink
POS MTR Restaurant PUNE,Food & Drink
POS Behrouz Biryani NOIDA,Food & Drink
POS Max Hospital KOLKATA,Health & Fitness
NEFT Salary Feb,Salary
POS Burger King JAIPUR,Food & Drink
UPI/ixigo/YES,Travel
UPI/BSES Bill/SBI,Utilities
UPI/House Rent/SBI,Rent
UPI/Swiggy/AXIS,Food & Drink
POS Bowling Alley CHENNAI,Entertainment
POS Haldirams BENGALURU,Food & Drink
UPI/House Rent/BOB,Rent
UPI/Electricity Board/HDFC,Utilities
POS IndianOil Petrol Pump AHMEDABAD,Travel
UPI/Navi MF/BOB,Investment
UPI/Studio Rent/FEDERAL,Rent
UPI/IGL Gas Bill/YES,Utilities
UPI/Canteen/FEDERAL,Food & Drink
UPI/Kuvera MF/KOTAK,Investment
POS Chaayos LUCKNOW,Food & Drink
POS Lifestyle LUCKNOW,Shopping
UPI/Moj Premium/BOB,Entertainment
POS Zara PUNE,Shopping
POS Medplus PUNE,Health & Fitness
UPI/YouTube Premium/YES,Entertainment
POS Burger King PUNE,Food & Drink
POS Paradise Biryani BHOPAL,Food & Drink
POS Burger King GURGAON,Food & Drink
POS Manipal Hospital BHOPAL,Health & Fitness
UPI/Fitness First/CANARA,Health & Fitness
UPI/Gas Bill/AXIS,Utilities
UPI/Airtel Xstream Fiber/PNB,Utilities
POS Apple Store DELHI,Shopping
UPI/FoodStall/CANARA,Food & Drink
UPI/Security Deposit/BOB,Rent
POS Reliance Trends JAIPUR,Shopping
UPI/Bharat Gas/KOTAK,Utilities
POS MTR Restaurant GURGAON,Food & Drink
POS Zara INDORE,Shopping
POS Haldirams SURAT,Food & Drink
UPI/Snapdeal/YES,Shopping
POS IndianOil Petrol Pump BENGALURU,Travel
UPI/Kuvera MF/YES,Investment
UPI/Upstox/HDFC,Investment
POS Chaayos DELHI,Food & Drink
UPI/Goibibo/AXIS,Travel
POS Apollo Pharmacy BHOPAL,Health & Fitness
UPI/Dunzo/CANARA,Food & Drink
POS Fortis Hospital GURGAON,Health & Fitness
UPI/House Rent/PNB,Rent
POS Manipal Hospital DELHI,Health & Fitness
UPI/Myntra/KOTAK,Shopping
POS Cult Fit KOLKATA,Health & Fitness
UPI/Fixed Deposit/HDFC,Investment
POS Apartment Maintenance NOIDA,Rent
UPI/Electricity Board/ICICI,Utilities
UPI/MFine/SBI,Health & Fitness
UPI/MFine/KOTAK,Health & Fitness
POS More Supermarket BENGALURU,Shopping
POS Dominos Pizza DELHI,Food & Drink
POS Apollo Hospital CHENNAI,Health & Fitness
POS Haldirams DELHI,Food & Drink
POS Burger King CHENNAI,Food & Drink
POS BookMyShow NOIDA,Entertainment
POS Vijay Sales BENGALURU,Shopping
UPI/IRCTC/CANARA,Travel
UPI/Swiggy/YES,Food & Drink
POS Big Bazaar MUMBAI,Shopping
POS Barbeque Nation LUCKNOW,Food & Drink
UPI/Co-living Rent/SBI,Rent
UPI/Netflix/KOTAK,Entertainment
UPI/Hotstar/YES,Entertainment
POS Mutual Fund SIP NOIDA,Investment
POS Shoppers Stop GURGAON,Shopping
POS Fortis Hospital NOIDA,Health & Fitness
UPI/MSEDCL Bill/KOTAK,Utilities
POS Shoppers Stop SURAT,Shopping
POS Westside INDORE,Shopping
POS Wow Momo JAIPUR,Food & Drink
POS Saravana Bhavan BENGALURU,Food & Drink
UPI/BPCL Fuel/CANARA,Travel
UPI/Path Lab/SBI,Health & Fitness
UPI/OYO Life Rent/PNB,Rent
UPI/Indane Gas/PNB,Utilities
UPI/RedBus/KOTAK,Travel
UPI/Gold's Gym/AXIS,Health & Fitness
UPI/Fixed Deposit/ICICI,Investment
POS MTR Restaurant NOIDA,Food & Drink
UPI/Angel Broking/PNB,Investment
UPI/Moj Premium/SBI,Entertainment
UPI/Snapdeal/SBI,Shopping
UPI/MFine/HDFC,Health & Fitness
UPI/Zostel/AXIS,Travel
POS PVR Cinemas LUCKNOW,Entertainment
POS Decathlon PUNE,Shopping
UPI/Piped Gas MGL/KOTAK,Utilities
UPI/OYO Life Rent/HDFC,Rent
POS Naturals Ice Cream AHMEDABAD,Food & Drink
UPI/Fitness First/SBI,Health & Fitness
UPI/Tech Mahindra/AXIS,Salary
POS Keventers BHOPAL,Food & Drink
UPI/BESCOM Bill/PNB,Utilities
UPI/Netflix/PNB,Entertainment
UPI/Electricity Board/FEDERAL,Utilities
POS H&M LUCKNOW,Shopping
POS INOX Movies JAIPUR,Entertainment
UPI/Path Lab/AXIS,Health & Fitness
UPI/OYO Rooms/BOB,Travel
POS Marriott MUMBAI,Travel
UPI/Rapido Bike/BOB,Travel
POS Shoppers Stop CHENNAI,Shopping
UPI/Housing Society/PNB,Rent
UPI/Stanza Living/YES,Rent
UPI/NestAway Rent/ICICI,Rent
POS Manipal Hospital HYDERABAD,Health & Fitness
UPI/FoodStall/AXIS,Food & Drink
POS Reliance Trends HYDERABAD,Shopping
IMPS/Rent Payment/KOTAK,Rent
POS Marriott CHENNAI,Travel
UPI/Housing Society/ICICI,Rent
POS McDonald's JAIPUR,Food & Drink
POS Croma DELHI,Shopping
UPI/Stanza Living/HDFC,Rent
POS Uniqlo INDORE,Shopping
POS Subway JAIPUR,Food & Drink
POS Croma AHMEDABAD,Shopping
UPI/Moj Premium/YES,Entertainment
POS McDonald's BENGALURU,Food & Drink
UPI/Navi MF/YES,Investment
POS Chai Point AHMEDABAD,Food & Drink
POS Haldirams MUMBAI,Food & Drink
UPI/Water Bill/FEDERAL,Utilities
POS Subway BHOPAL,Food & Drink
POS Mutual Fund SIP HYDERABAD,Investment
UPI/IGL Gas Bill/FEDERAL,Utilities
POS Uniqlo JAIPUR,Shopping
POS More Supermarket AHMEDABAD,Shopping
UPI/Swiggy/CANARA,Food & Drink
UPI/Ludo King Premium/ICICI,Entertainment
POS Medplus DELHI,Health & Fitness
POS Honest Restaurant BENGALURU,Food & Drink
UPI/ChaatWala/AXIS,Food & Drink
POS Paradise Biryani HYDERABAD,Food & Drink
POS IndianOil Petrol Pump LUCKNOW,Travel
POS Nykaa KOLKATA,Shopping
UPI/Doctor Consultation/FEDERAL,Health & Fitness
POS Apartment Maintenance BHOPAL,Rent
UPI/Paytm Money SIP/AXIS,Investment
UPI/Navi MF/SBI,Investment
IMPS/Rent Payment/CANARA,Rent
UPI/Indane Gas/BOB,Utilities
UPI/BESCOM Bill/YES,Utilities
UPI/BSES Bill/PNB,Utilities
UPI/MakeMyTrip/PNB,Travel
POS Cult Fit JAIPUR,Health & Fitness
POS Saravana Bhavan AHMEDABAD,Food & Drink
POS Wow Momo GURGAON,Food & Drink
POS MTR Restaurant BENGALURU,Food & Drink
UPI/PPF Contribution/BOB,Investment
POS Chaayos INDORE,Food & Drink
UPI/Steam Games/HDFC,Entertainment
UPI/Gas Bill/HDFC,Utilities
POS Apartment Maintenance LUCKNOW,Rent
UPI/BookMyShow/PNB,Entertainment
POS IndianOil Petrol Pump PUNE,Travel
POS Honest Restaurant INDORE,Food & Drink
UPI/Airtel Recharge/CANARA,Utilities
UPI/Steam Games/ICICI,Entertainment
POS Cult Fit INDORE,Health & Fitness
UPI/Nykaa/HDFC,Shopping
POS Cafe Coffee Day INDORE,Food & Drink
UPI/Ludo King Premium/HDFC,Entertainment
POS Escape Room PUNE,Entertainment
UPI/Rapido Bike/FEDERAL,Travel
UPI/Apartment Rent/FEDERAL,Rent
UPI/NestAway Rent/CANARA,Rent
UPI/Hotstar/AXIS,Entertainment
POS Amazon PUNE,Shopping
UPI/Stanza Living/AXIS,Rent
POS Star Bazaar PUNE,Shopping
POS Pizza Hut PUNE,Food & Drink
POS Big Bazaar KOLKATA,Shopping
POS Himalaya Store PUNE,Health & Fitness
SALARY CREDIT JUN 2026,Salary
NEFT - Rent Dec,Rent
POS Zara SURAT,Shopping
UPI/Nykaa/SBI,Shopping
UPI/Security Deposit/KOTAK,Rent
UPI/Security Deposit/ICICI,Rent
UPI/Dunzo/KOTAK,Food & Drink
UPI/D-Mart/SBI,Shopping
UPI/Nykaa/BOB,Shopping
UPI/Bharat Gas/FEDERAL,Utilities
UPI/Diagnostic Lab/CANARA,Health & Fitness
UPI/Gas Bill/PNB,Utilities
UPI/Myntra/SBI,Shopping
IMPS/Rent Payment/FEDERAL,Rent
POS Haldirams AHMEDABAD,Food & Drink
POS Thyrocare JAIPUR,Health & Fitness
POS Himalaya Store MUMBAI,Health & Fitness
POS IndianOil Petrol Pump INDORE,Travel
UPI/Swiggy/BOB,Food & Drink
POS Netmeds AHMEDABAD,Health & Fitness
POS Star Bazaar NOIDA,Shopping
POS Chai Point HYDERABAD,Food & Drink
UPI/Rapido Bike/AXIS,Travel
UPI/Maintenance Charge/FEDERAL,Rent
UPI/Mutual Fund SIP/ICICI,Investment
POS Starbucks HYDERABAD,Food & Drink
UPI/Vi Recharge/BOB,Utilities
POS Subway INDORE,Food & Drink
UPI/BPCL Fuel/YES,Travel
POS Behrouz Biryani DELHI,Food & Drink
POS Amazon INDORE,Shopping
UPI/Amazon/CANARA,Shopping
POS Apollo Hospital KOLKATA,Health & Fitness
UPI/LIC Premium/AXIS,Investment
POS Nykaa JAIPUR,Shopping
POS Amazon BHOPAL,Shopping
POS Starbucks AHMEDABAD,Food & Drink
POS Starbucks INDORE,Food & Drink
POS Saravana Bhavan BHOPAL,Food & Drink
UPI/Society Fee/SBI,Rent
UPI/Piped Gas MGL/PNB,Utilities
UPI/Housing Society/FEDERAL,Rent
POS Himalaya Store GURGAON,Health & Fitness
AUTO DEBIT MX Player Pro,Entertainment
UPI/RedBus/ICICI,Travel
POS Star Bazaar MUMBAI,Shopping
UPI/D-Mart/YES,Shopping
UPI/Ludo King Premium/FEDERAL,Entertainment
POS Haldirams LUCKNOW,Food & Drink
UPI/CrossFit/SBI,Health & Fitness
POS MTR Restaurant DELHI,Food & Drink
UPI/IGL Gas Bill/AXIS,Utilities
UPI/LPG Cylinder HP/SBI,Utilities
POS Parking Fee HYDERABAD,Travel
UPI/NestAway Rent/YES,Rent
UPI/Practo/KOTAK,Health & Fitness
POS Pizza Hut JAIPUR,Food & Drink
UPI/Groww/ICICI,Investment
UPI/OYO Life Rent/AXIS,Rent
POS Big Bazaar SURAT,Shopping
POS Reliance Digital HYDERABAD,Shopping
POS Zara LUCKNOW,Shopping
UPI/Co-living Rent/ICICI,Rent
IMPS/Rent Payment/BOB,Rent
POS H&M CHENNAI,Shopping
UPI/IRCTC/FEDERAL,Travel
POS Mutual Fund SIP DELHI,Investment
UPI/ixigo/CANARA,Travel
POS INOX Movies DELHI,Entertainment
POS Starbucks KOLKATA,Food & Drink
UPI/Stanza Living/SBI,Rent
UPI/YouTube Premium/PNB,Entertainment
UPI/Fixed Deposit/KOTAK,Investment
UPI/Upstox/SBI,Investment
UPI/RedBus/BOB,Travel
POS Myntra SURAT,Shopping
POS Subway MUMBAI,Food & Drink
POS Thyrocare NOIDA,Health & Fitness
UPI/HPCL Petrol Pump/BOB,Travel
UPI/Co-living Rent/KOTAK,Rent
POS Apartment Maintenance KOLKATA,Rent
UPI/Security Deposit/PNB,Rent
POS INOX Movies PUNE,Entertainment
POS PVR Cinemas GURGAON,Entertainment
POS Mutual Fund SIP SURAT,Investment
UPI/Accenture/BOB,Salary
UPI/Practo/FEDERAL,Health & Fitness
POS Barbeque Nation NOIDA,Food & Drink
POS Honest Restaurant KOLKATA,Food & Drink
UPI/Moj Premium/FEDERAL,Entertainment
POS Behrouz Biryani BHOPAL,Food & Drink
UPI/PG Rent/HDFC,Rent
UPI/Piped Gas MGL/AXIS,Utilities
POS Burger King NOIDA,Food & Drink
UPI/Hostel Rent/FEDERAL,Rent
UPI/Amazon/FEDERAL,Shopping
POS Amazon DELHI,Shopping
UPI/BPCL Fuel/FEDERAL,Travel
POS H&M HYDERABAD,Shopping
POS D-Mart JAIPUR,Shopping
UPI/LIC Premium/FEDERAL,Investment
POS Nykaa INDORE,Shopping
UPI/MSEDCL Bill/FEDERAL,Utilities
POS Big Bazaar CHENNAI,Shopping
POS Himalaya Store BENGALURU,Health & Fitness
POS Uniqlo CHENNAI,Shopping
UPI/Angel Broking/FEDERAL,Investment
POS Vijay Sales SURAT,Shopping
POS BookMyShow BHOPAL,Entertainment
POS Manipal Hospital CHENNAI,Health & Fitness
SALARY CREDIT MAY 2026,Salary
UPI/Tech Mahindra/PNB,Salary
UPI/Jio Recharge/FEDERAL,Utilities
POS Apollo Hospital MUMBAI,Health & Fitness
POS Bowling Alley BHOPAL,Entertainment
POS Chai Point DELHI,Food & Drink
POS Lifestyle JAIPUR,Shopping
POS Cult Fit CHENNAI,Health & Fitness
UPI/Steam Games/SBI,Entertainment
UPI/BookMyShow/CANARA,Entertainment
POS Croma LUCKNOW,Shopping
UPI/Flipkart/BOB,Shopping
UPI/Apartment Rent/HDFC,Rent
UPI/OYO Life Rent/BOB,Rent
POS Chai Point NOIDA,Food & Drink
POS Flipkart SURAT,Shopping
UPI/Tech Mahindra/CANARA,Salary
POS Honest Restaurant HYDERABAD,Food & Drink
UPI/EaseMyTrip/SBI,Travel
UPI/Yoga Class/SBI,Health & Fitness
POS Wow Momo HYDERABAD,Food & Drink
UPI/Navi MF/FEDERAL,Investment
UPI/MFine/PNB,Health & Fitness
POS Shoppers Stop KOLKATA,Shopping
UPI/Co-living Rent/CANARA,Rent
UPI/Snapdeal/HDFC,Shopping
UPI/ChaatWala/CANARA,Food & Drink
POS Naturals Ice Cream PUNE,Food & Drink
UPI/Canteen/PNB,Food & Drink
